@relation 'NBA2K Players'

@attribute height numeric
@attribute weight numeric
@attribute 'Open shot mid' numeric
@attribute 'Contested shot mid' numeric
@attribute 'Off dribble shot mid' numeric
@attribute 'Open shot 3pt' numeric
@attribute 'Contested shot 3pt' numeric
@attribute 'Off dribble shot 3pt' numeric
@attribute 'Shot IQ' numeric
@attribute 'Free throw' numeric
@attribute 'Offensive consistency' numeric
@attribute 'Shot close' numeric
@attribute 'Standing layup' numeric
@attribute 'Driving layup' numeric
@attribute 'Standing dunk' numeric
@attribute 'Driving dunk' numeric
@attribute 'Contact dunk' numeric
@attribute 'Draw foul' numeric
@attribute 'Post control' numeric
@attribute 'Post hook' numeric
@attribute 'Post fadeaway' numeric
@attribute Hands numeric
@attribute 'Ball control' numeric
@attribute 'Passing accuracy' numeric
@attribute 'Passing vision' numeric
@attribute 'Passing IQ' numeric
@attribute 'Speed with ball' numeric
@attribute Speed numeric
@attribute Acceleration numeric
@attribute Vertical numeric
@attribute Strength numeric
@attribute Stamina numeric
@attribute Hustle numeric
@attribute 'Overall durability' numeric
@attribute 'On-ball defense IQ' numeric
@attribute 'Low post defense IQ' numeric
@attribute 'Pick & roll defense IQ' numeric
@attribute 'Help defense IQ' numeric
@attribute 'Lateral quickness' numeric
@attribute 'Pass perception' numeric
@attribute 'Reaction time' numeric
@attribute Steal numeric
@attribute Block numeric
@attribute 'Shot contest' numeric
@attribute 'Defensive consistency' numeric
@attribute 'Offensive rebound' numeric
@attribute 'Defensive rebound' numeric
@attribute Boxout numeric
@attribute Potential numeric
@attribute Intangibles numeric
@attribute overall numeric

@data
83,255,67,39,36,39,28,27,58,65,49,75,76,46,74,39,34,69,75,73,59,87,29,27,44,27,33,55,41,63,62,74,59,79,48,72,47,56,39,53,64,64,69,54,39,65,61,59,76,58,65
83,242,75,71,35,65,36,25,54,70,45,76,75,53,70,50,30,55,61,63,59,65,37,53,31,55,49,59,47,63,67,77,77,79,47,55,49,55,49,35,55,54,67,59,25,57,74,71,77,63,65
84,220,36,26,26,54,26,26,44,49,26,65,74,39,76,65,31,74,47,49,58,51,31,50,26,56,34,50,44,75,60,79,65,79,62,66,60,64,40,64,70,77,78,70,46,64,57,62,76,81,65
81,250,29,25,25,25,25,25,45,37,30,67,73,46,65,55,30,64,47,45,47,62,30,25,25,45,41,62,42,60,70,75,80,83,55,64,63,65,55,55,65,56,63,65,35,62,81,73,70,83,65
87,242,72,52,28,57,27,25,69,77,52,33,77,49,72,47,32,59,60,63,47,63,32,42,26,42,37,54,50,55,63,75,50,75,59,67,58,57,47,67,61,52,58,61,37,63,54,66,75,81,65
87,265,27,25,25,25,25,25,73,48,25,51,80,42,83,50,33,56,45,48,48,29,33,26,30,27,26,30,25,30,52,70,66,77,63,70,70,76,25,55,68,53,88,68,48,71,75,71,76,56,65
84,260,76,57,27,47,27,25,47,67,47,75,79,60,72,67,30,57,70,67,51,77,35,46,31,47,27,41,35,67,70,77,81,79,47,73,54,71,31,37,62,55,80,71,42,70,72,69,75,27,66
82,240,59,25,25,25,25,25,36,67,25,74,75,51,81,74,31,62,56,54,44,55,31,29,41,40,49,68,66,78,79,75,88,82,50,65,54,61,46,41,63,53,66,63,31,66,79,70,75,58,66
86,240,54,35,28,25,25,25,65,62,37,74,81,59,77,67,37,49,62,65,46,77,32,32,34,39,35,57,57,66,57,77,72,75,41,55,45,56,43,35,59,51,66,51,42,67,63,66,79,85,66
85,265,49,36,29,25,25,25,49,68,29,66,82,62,79,59,30,49,62,69,53,79,34,44,30,46,37,39,36,74,67,79,74,80,49,63,50,59,44,39,54,54,67,64,34,74,66,69,77,53,66
85,250,58,42,35,26,25,25,60,56,35,65,84,37,70,45,40,58,62,60,48,54,35,45,43,48,32,59,54,57,68,79,67,78,49,61,66,67,25,45,58,53,42,58,45,70,74,70,70,51,66
81,242,62,43,36,27,25,25,73,72,47,72,78,51,72,62,42,59,67,67,61,45,32,27,30,55,35,52,49,46,65,77,82,80,56,69,55,63,45,58,57,40,59,54,47,70,59,45,75,85,66
