@relation 'NBA2K Players'

@attribute height numeric
@attribute weight numeric
@attribute 'Open shot mid' numeric
@attribute 'Contested shot mid' numeric
@attribute 'Off dribble shot mid' numeric
@attribute 'Open shot 3pt' numeric
@attribute 'Contested shot 3pt' numeric
@attribute 'Off dribble shot 3pt' numeric
@attribute 'Shot IQ' numeric
@attribute 'Free throw' numeric
@attribute 'Offensive consistency' numeric
@attribute 'Shot close' numeric
@attribute 'Standing layup' numeric
@attribute 'Driving layup' numeric
@attribute 'Standing dunk' numeric
@attribute 'Driving dunk' numeric
@attribute 'Contact dunk' numeric
@attribute 'Draw foul' numeric
@attribute 'Post control' numeric
@attribute 'Post hook' numeric
@attribute 'Post fadeaway' numeric
@attribute Hands numeric
@attribute 'Ball control' numeric
@attribute 'Passing accuracy' numeric
@attribute 'Passing vision' numeric
@attribute 'Passing IQ' numeric
@attribute 'Speed with ball' numeric
@attribute Speed numeric
@attribute Acceleration numeric
@attribute Vertical numeric
@attribute Strength numeric
@attribute Stamina numeric
@attribute Hustle numeric
@attribute 'Overall durability' numeric
@attribute 'On-ball defense IQ' numeric
@attribute 'Low post defense IQ' numeric
@attribute 'Pick & roll defense IQ' numeric
@attribute 'Help defense IQ' numeric
@attribute 'Lateral quickness' numeric
@attribute 'Pass perception' numeric
@attribute 'Reaction time' numeric
@attribute Steal numeric
@attribute Block numeric
@attribute 'Shot contest' numeric
@attribute 'Defensive consistency' numeric
@attribute 'Offensive rebound' numeric
@attribute 'Defensive rebound' numeric
@attribute Boxout numeric
@attribute Potential numeric
@attribute Intangibles numeric
@attribute overall numeric

@data
73,170,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,92,25,40
74,185,71,71,70,79,67,69,57,71,57,73,79,76,25,67,27,51,25,25,37,79,71,59,57,63,77,73,76,78,37,77,82,77,48,25,49,47,48,59,57,74,25,57,27,36,29,29,72,64,65
74,185,69,58,64,64,59,64,74,74,64,63,76,72,25,25,25,42,25,29,30,69,72,61,67,59,86,71,86,91,30,85,80,80,36,29,38,34,42,46,66,58,25,66,29,27,50,29,77,82,65
79,200,67,49,67,74,59,67,55,63,30,72,71,69,42,62,37,47,45,49,42,61,67,62,59,65,79,83,82,81,57,82,72,81,57,45,55,51,72,57,58,59,37,58,57,43,53,58,76,44,65
74,190,69,50,54,76,62,38,43,72,25,58,78,75,25,49,25,42,25,25,35,60,71,66,62,70,75,69,77,75,48,81,90,77,72,25,71,70,72,56,74,81,43,74,56,32,37,25,70,71,65
75,193,81,73,81,70,53,54,53,69,40,70,69,71,25,25,25,25,25,35,43,72,74,73,65,67,79,67,80,69,34,85,60,83,59,47,61,63,59,45,55,59,25,55,40,31,46,34,71,75,65
74,165,75,64,66,69,47,56,41,71,25,60,66,70,25,31,25,41,25,26,28,80,71,60,64,58,80,80,80,75,46,80,80,82,75,25,72,73,79,70,53,75,25,53,71,30,42,27,72,60,66
77,170,54,57,62,63,45,54,63,63,57,67,72,72,37,62,32,55,65,37,45,85,75,69,65,71,84,80,79,57,37,77,72,80,62,40,59,55,70,65,65,60,49,65,42,38,43,38,80,64,66
77,180,67,46,54,73,49,58,55,71,37,55,72,75,25,27,27,57,25,25,43,69,72,72,68,71,80,70,72,69,58,80,80,84,69,30,60,60,72,72,63,60,48,63,37,42,59,40,77,80,66
75,185,70,59,63,71,49,60,87,80,45,63,73,69,25,25,25,25,25,25,28,79,71,79,65,80,76,70,72,57,36,81,79,77,53,25,59,39,46,77,43,82,25,43,35,45,44,34,71,84,66
78,205,83,73,77,69,48,65,69,59,34,37,67,63,34,44,34,60,41,39,47,78,78,64,69,65,82,74,79,66,30,80,56,76,67,41,66,57,67,58,67,57,25,67,29,36,47,40,75,77,66
69,160,75,64,67,74,62,67,45,82,37,67,71,69,25,25,25,65,29,25,42,75,77,77,73,69,87,82,89,78,32,77,77,80,64,31,54,47,71,71,69,67,25,69,32,25,27,25,78,44,66
76,202,72,61,70,77,59,67,48,77,37,71,72,77,25,37,25,67,51,35,60,78,73,69,66,71,78,73,76,77,49,77,67,79,54,54,51,65,55,61,62,56,49,57,47,30,45,35,79,61,66
78,217,68,58,63,71,44,67,71,81,46,78,69,71,25,25,25,37,57,53,57,76,76,78,70,77,81,66,70,54,38,85,81,88,59,40,60,58,59,55,62,54,25,62,56,27,46,45,73,71,67
76,210,78,72,73,76,68,65,53,74,39,74,73,70,39,84,59,63,37,34,50,60,73,61,63,63,74,69,73,74,41,79,77,81,69,54,61,64,73,59,74,69,64,73,29,41,59,49,76,61,67
76,200,70,64,69,62,58,30,50,73,45,77,70,72,26,64,26,45,26,26,43,73,75,65,65,65,85,79,83,60,48,80,75,84,67,44,60,61,73,54,58,60,35,58,40,30,45,35,77,73,67
73,175,72,65,66,70,59,46,51,69,31,81,70,74,25,26,25,48,31,25,36,70,76,70,67,70,85,85,84,74,34,90,87,83,61,26,57,56,61,56,56,60,25,56,36,29,42,37,73,66,67
74,190,71,57,65,66,50,54,48,76,46,68,69,71,36,61,31,41,44,41,49,72,69,54,59,56,86,84,80,81,64,81,70,82,69,51,68,55,74,61,64,53,28,64,46,61,56,40,78,75,67
73,185,72,66,68,66,66,69,68,68,46,68,70,74,25,26,25,58,31,25,36,66,76,72,69,73,77,65,72,57,34,85,87,84,54,26,57,56,61,56,56,75,31,56,26,28,41,37,77,81,67
77,210,73,64,65,76,61,65,72,78,40,76,79,77,25,35,30,65,28,30,32,81,79,70,67,69,82,76,78,73,49,80,80,80,55,29,54,56,51,60,60,64,30,55,40,40,52,30,76,65,68
72,183,73,71,70,83,67,82,75,76,50,67,71,74,25,25,25,45,27,25,54,75,76,65,67,64,89,84,89,68,28,84,82,84,47,25,45,49,43,55,43,57,27,43,45,25,40,25,74,75,68
72,190,72,66,69,66,50,76,74,81,36,59,82,74,25,25,25,36,25,25,42,68,71,80,69,83,75,76,72,69,60,94,73,73,68,29,59,59,68,50,62,55,31,62,36,31,47,39,73,79,68
74,188,64,40,46,77,71,71,79,71,56,78,76,74,25,51,30,46,25,25,33,57,74,81,57,71,77,77,78,86,48,83,70,80,57,26,60,48,60,60,53,60,41,53,36,32,54,30,72,81,68
75,174,70,65,66,65,31,65,84,89,56,87,81,71,25,25,25,48,26,25,25,76,75,81,74,88,77,70,75,40,40,75,73,66,55,25,54,56,54,64,45,57,36,45,46,32,43,25,75,71,68
79,209,69,56,59,77,62,59,71,75,47,70,77,73,25,37,30,56,45,27,42,77,73,70,71,67,79,73,76,76,43,77,72,76,68,47,66,67,72,69,75,73,29,75,57,27,45,45,78,66,68
72,161,65,66,69,71,82,77,66,71,51,83,69,72,25,25,25,63,25,25,36,69,76,66,69,69,88,83,88,78,51,84,71,84,54,25,61,59,54,43,56,57,38,56,36,31,39,25,74,66,69
73,180,84,75,79,73,76,71,72,86,47,57,74,69,27,25,25,49,25,25,37,69,77,78,64,77,88,86,80,77,43,85,63,80,53,25,48,45,53,48,45,55,29,45,27,29,42,28,73,69,69
74,175,69,48,64,72,47,52,68,83,42,82,77,74,25,25,25,67,27,25,35,69,59,79,63,87,80,80,79,76,39,86,71,79,65,36,63,63,65,69,63,58,37,63,52,30,45,37,72,69,69
75,192,82,73,75,73,65,52,74,68,46,67,78,74,25,26,25,63,27,25,32,56,74,80,53,79,84,79,87,74,39,90,70,76,64,27,66,47,64,40,51,69,41,51,36,28,46,25,78,71,69
73,198,90,77,91,75,81,56,68,87,56,69,69,71,25,31,25,49,26,25,43,73,77,70,66,69,83,75,83,69,45,80,70,77,44,28,43,50,54,36,53,54,33,53,31,25,45,29,78,66,69
74,172,78,62,70,75,71,69,78,70,36,64,71,70,25,25,25,60,31,39,36,77,75,70,63,72,81,75,77,68,60,82,85,79,71,36,64,62,54,64,70,65,25,68,66,27,41,30,74,75,69
73,190,82,74,75,69,81,49,66,78,46,79,71,70,25,26,25,46,31,25,41,66,75,76,65,80,85,85,86,70,41,80,60,80,59,44,58,50,63,56,68,57,31,68,31,28,41,37,73,71,69
74,185,81,67,71,73,63,64,67,76,57,80,71,67,25,25,25,77,28,25,33,69,70,67,68,69,84,75,80,72,39,82,75,84,57,28,59,48,67,49,52,74,39,52,37,29,49,26,79,82,70
78,196,64,56,58,73,71,68,74,58,41,59,72,78,25,30,30,29,36,25,51,81,74,77,60,78,84,82,83,77,48,80,85,83,75,25,75,72,78,70,56,55,36,56,66,29,37,34,80,73,70
