@relation 'NBA2K Players'

@attribute height numeric
@attribute weight numeric
@attribute 'Open shot mid' numeric
@attribute 'Contested shot mid' numeric
@attribute 'Off dribble shot mid' numeric
@attribute 'Open shot 3pt' numeric
@attribute 'Contested shot 3pt' numeric
@attribute 'Off dribble shot 3pt' numeric
@attribute 'Shot IQ' numeric
@attribute 'Free throw' numeric
@attribute 'Offensive consistency' numeric
@attribute 'Shot close' numeric
@attribute 'Standing layup' numeric
@attribute 'Driving layup' numeric
@attribute 'Standing dunk' numeric
@attribute 'Driving dunk' numeric
@attribute 'Contact dunk' numeric
@attribute 'Draw foul' numeric
@attribute 'Post control' numeric
@attribute 'Post hook' numeric
@attribute 'Post fadeaway' numeric
@attribute Hands numeric
@attribute 'Ball control' numeric
@attribute 'Passing accuracy' numeric
@attribute 'Passing vision' numeric
@attribute 'Passing IQ' numeric
@attribute 'Speed with ball' numeric
@attribute Speed numeric
@attribute Acceleration numeric
@attribute Vertical numeric
@attribute Strength numeric
@attribute Stamina numeric
@attribute Hustle numeric
@attribute 'Overall durability' numeric
@attribute 'On-ball defense IQ' numeric
@attribute 'Low post defense IQ' numeric
@attribute 'Pick & roll defense IQ' numeric
@attribute 'Help defense IQ' numeric
@attribute 'Lateral quickness' numeric
@attribute 'Pass perception' numeric
@attribute 'Reaction time' numeric
@attribute Steal numeric
@attribute Block numeric
@attribute 'Shot contest' numeric
@attribute 'Defensive consistency' numeric
@attribute 'Offensive rebound' numeric
@attribute 'Defensive rebound' numeric
@attribute Boxout numeric
@attribute Potential numeric
@attribute Intangibles numeric
@attribute overall numeric

@data
83,235,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,85,25,40
81,250,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,99,25,40
82,245,44,34,27,27,27,27,31,59,27,61,74,63,69,54,34,39,54,53,38,62,41,31,33,44,30,54,38,65,58,75,70,78,51,66,49,64,42,54,57,56,74,59,39,78,79,77,75,53,65
82,215,54,29,25,71,54,55,27,67,57,49,75,52,67,57,32,47,61,57,47,72,32,27,25,37,50,64,63,59,32,80,76,83,59,71,61,71,53,59,64,60,73,64,32,65,71,59,75,79,65
83,200,69,53,38,71,34,26,64,49,46,52,76,54,71,76,36,78,56,51,48,58,44,36,26,48,42,70,50,73,70,75,50,83,44,58,48,56,40,50,48,46,63,48,26,58,56,66,76,76,65
81,230,62,35,29,45,27,27,52,50,37,52,77,57,72,62,30,74,48,57,49,57,36,46,34,46,40,69,52,77,72,81,70,83,49,65,47,61,49,37,59,60,59,59,32,82,49,62,73,76,65
81,194,59,32,26,62,29,26,74,66,45,63,79,49,80,84,45,62,57,47,49,69,45,27,27,59,40,63,60,91,48,80,83,78,53,52,64,55,35,63,62,54,65,62,45,43,67,61,70,74,65
81,230,73,55,44,71,51,41,61,69,37,79,79,61,57,51,37,39,54,67,65,69,61,47,34,59,49,66,63,67,48,77,77,83,61,61,65,59,61,44,59,54,47,65,52,62,58,57,79,62,65
80,255,63,29,28,28,28,28,60,47,40,88,73,55,80,65,30,68,57,61,69,63,30,30,28,50,39,62,52,63,78,80,83,82,46,61,45,64,47,35,62,56,58,62,30,57,49,69,75,74,65
81,245,39,27,26,26,26,26,66,58,34,56,79,49,64,57,39,49,59,51,44,57,39,34,29,47,31,52,35,69,65,70,46,82,53,67,52,69,34,53,60,50,67,60,44,74,67,69,72,78,65
80,260,45,27,27,27,27,27,38,57,28,66,73,51,58,62,31,37,42,28,30,47,31,28,28,31,38,67,56,67,74,80,80,79,47,55,48,58,31,44,71,48,52,57,36,78,85,78,70,83,66
82,210,69,55,51,26,25,25,57,74,47,76,81,62,77,80,47,58,70,67,64,67,32,30,32,51,46,66,62,82,51,77,67,82,49,65,51,50,54,47,52,56,65,51,37,67,62,60,77,47,66
82,210,75,56,60,81,68,50,71,79,51,74,74,60,61,51,31,41,48,39,62,72,64,34,27,41,49,62,57,49,47,77,77,68,48,48,50,51,60,54,46,54,51,46,46,43,46,41,75,80,66
