@relation 'NBA2K Players'

@attribute height numeric
@attribute weight numeric
@attribute 'Open shot mid' numeric
@attribute 'Contested shot mid' numeric
@attribute 'Off dribble shot mid' numeric
@attribute 'Open shot 3pt' numeric
@attribute 'Contested shot 3pt' numeric
@attribute 'Off dribble shot 3pt' numeric
@attribute 'Shot IQ' numeric
@attribute 'Free throw' numeric
@attribute 'Offensive consistency' numeric
@attribute 'Shot close' numeric
@attribute 'Standing layup' numeric
@attribute 'Driving layup' numeric
@attribute 'Standing dunk' numeric
@attribute 'Driving dunk' numeric
@attribute 'Contact dunk' numeric
@attribute 'Draw foul' numeric
@attribute 'Post control' numeric
@attribute 'Post hook' numeric
@attribute 'Post fadeaway' numeric
@attribute Hands numeric
@attribute 'Ball control' numeric
@attribute 'Passing accuracy' numeric
@attribute 'Passing vision' numeric
@attribute 'Passing IQ' numeric
@attribute 'Speed with ball' numeric
@attribute Speed numeric
@attribute Acceleration numeric
@attribute Vertical numeric
@attribute Strength numeric
@attribute Stamina numeric
@attribute Hustle numeric
@attribute 'Overall durability' numeric
@attribute 'On-ball defense IQ' numeric
@attribute 'Low post defense IQ' numeric
@attribute 'Pick & roll defense IQ' numeric
@attribute 'Help defense IQ' numeric
@attribute 'Lateral quickness' numeric
@attribute 'Pass perception' numeric
@attribute 'Reaction time' numeric
@attribute Steal numeric
@attribute Block numeric
@attribute 'Shot contest' numeric
@attribute 'Defensive consistency' numeric
@attribute 'Offensive rebound' numeric
@attribute 'Defensive rebound' numeric
@attribute Boxout numeric
@attribute Potential numeric
@attribute Intangibles numeric
@attribute overall numeric

@data
79,210,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,99,25,40
78,195,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,99,25,40
78,212,70,59,62,75,67,59,72,55,40,74,79,74,25,35,30,40,28,30,32,80,72,60,58,58,75,75,75,70,46,80,80,80,51,27,50,46,51,48,57,67,25,57,40,48,58,31,74,78,65
77,201,69,62,45,82,63,55,75,77,47,68,77,65,37,42,37,31,35,27,42,66,57,56,35,55,64,70,72,75,42,80,65,83,59,37,61,55,59,37,62,82,44,62,32,25,39,43,73,82,65
78,220,72,47,51,77,37,48,73,70,42,42,79,71,37,77,37,53,27,30,37,72,65,51,39,49,70,77,75,75,42,80,75,87,63,43,61,65,57,37,62,56,27,62,57,29,51,38,74,85,65
77,209,74,59,70,75,58,41,76,57,47,75,76,76,42,37,32,65,47,55,57,74,73,61,73,65,69,57,63,48,60,70,50,83,49,35,48,51,49,39,59,85,59,59,25,43,43,45,73,77,65
77,179,71,63,72,82,68,71,44,71,56,70,77,78,36,76,36,74,41,29,52,75,68,36,66,38,74,78,78,67,58,90,82,90,47,46,44,41,66,56,66,51,31,66,26,32,43,37,77,54,65
78,195,56,34,40,73,48,40,56,76,31,63,71,69,71,76,46,50,41,46,44,82,56,54,25,50,72,88,76,85,48,76,65,82,66,47,62,54,70,61,80,63,69,80,41,57,51,48,72,56,65
77,212,64,36,51,62,61,59,77,70,57,79,77,52,37,47,27,29,55,47,48,71,68,67,49,57,71,75,75,65,74,81,77,76,58,67,61,59,57,52,75,55,32,75,37,27,53,62,70,82,65
77,218,68,44,37,73,54,66,71,74,51,68,65,64,26,76,36,26,26,31,30,64,58,48,35,42,68,80,80,98,30,80,83,83,54,31,50,46,68,40,68,51,26,60,26,61,61,51,76,84,65
