@relation 'NBA2K Players'

@attribute height numeric
@attribute weight numeric
@attribute 'Open shot mid' numeric
@attribute 'Contested shot mid' numeric
@attribute 'Off dribble shot mid' numeric
@attribute 'Open shot 3pt' numeric
@attribute 'Contested shot 3pt' numeric
@attribute 'Off dribble shot 3pt' numeric
@attribute 'Shot IQ' numeric
@attribute 'Free throw' numeric
@attribute 'Offensive consistency' numeric
@attribute 'Shot close' numeric
@attribute 'Standing layup' numeric
@attribute 'Driving layup' numeric
@attribute 'Standing dunk' numeric
@attribute 'Driving dunk' numeric
@attribute 'Contact dunk' numeric
@attribute 'Draw foul' numeric
@attribute 'Post control' numeric
@attribute 'Post hook' numeric
@attribute 'Post fadeaway' numeric
@attribute Hands numeric
@attribute 'Ball control' numeric
@attribute 'Passing accuracy' numeric
@attribute 'Passing vision' numeric
@attribute 'Passing IQ' numeric
@attribute 'Speed with ball' numeric
@attribute Speed numeric
@attribute Acceleration numeric
@attribute Vertical numeric
@attribute Strength numeric
@attribute Stamina numeric
@attribute Hustle numeric
@attribute 'Overall durability' numeric
@attribute 'On-ball defense IQ' numeric
@attribute 'Low post defense IQ' numeric
@attribute 'Pick & roll defense IQ' numeric
@attribute 'Help defense IQ' numeric
@attribute 'Lateral quickness' numeric
@attribute 'Pass perception' numeric
@attribute 'Reaction time' numeric
@attribute Steal numeric
@attribute Block numeric
@attribute 'Shot contest' numeric
@attribute 'Defensive consistency' numeric
@attribute 'Offensive rebound' numeric
@attribute 'Defensive rebound' numeric
@attribute Boxout numeric
@attribute Potential numeric
@attribute Intangibles numeric
@attribute overall numeric

@data
79,200,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,94,25,40
81,220,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,99,25,40
81,200,67,65,63,70,48,56,67,69,39,68,77,67,49,69,39,28,29,29,41,83,61,57,27,61,77,73,72,77,40,80,78,80,48,37,47,55,47,68,48,72,57,48,34,37,30,45,75,83,65
80,230,64,56,57,78,65,61,47,77,37,77,72,67,25,42,30,48,71,67,68,71,64,57,59,67,60,52,49,69,46,85,77,84,55,57,62,59,35,57,69,60,25,69,37,49,51,56,75,42,65
81,220,71,59,37,77,66,48,58,74,27,67,77,62,47,57,37,48,51,46,42,52,59,45,39,49,61,71,66,81,62,77,78,78,63,57,64,53,67,59,55,57,45,56,42,46,55,47,75,46,65
80,215,68,51,48,77,84,62,71,77,56,76,66,58,25,54,26,54,32,25,56,66,56,55,25,66,51,73,52,72,42,77,70,76,49,34,54,46,49,40,48,55,53,48,41,31,46,32,72,66,65
79,220,78,67,68,77,62,61,53,85,34,35,69,63,39,39,39,43,41,27,51,69,64,51,29,61,66,70,71,72,37,80,76,83,43,43,47,55,43,49,59,62,39,59,25,31,65,32,71,78,65
79,180,78,62,68,76,54,68,30,75,25,65,72,73,35,50,30,66,37,36,48,55,75,59,28,60,74,77,78,70,45,84,46,80,47,38,42,40,47,44,48,25,25,48,25,25,50,25,72,75,65
81,225,80,63,52,83,34,48,81,74,56,83,74,57,46,36,36,31,47,31,52,57,57,50,34,60,50,55,52,70,48,78,60,82,58,44,54,50,56,38,49,51,38,49,46,37,63,61,70,66,65
78,219,67,35,56,65,34,31,63,62,45,51,76,65,45,80,40,59,42,49,54,76,67,32,27,53,67,76,75,87,62,80,65,85,70,51,65,55,70,55,58,59,37,58,40,39,53,30,70,70,66
